train/success_rate,d_expert_mean,stats_o/std,epoch,stats_g/std,train/episode,stats_o/mean,stats_g/mean,d_agent_std,d_expert_std,d_agent_mean,train/mean_Q
0.64,-0.321734,4.5038604736328125,0,6.535053253173828,13550.0,-4.254718780517578,-8.100746154785156,1.70405,0.199449,-2.23507,-4.580663681030273
0.68,-0.293523,4.503480911254883,1,6.534135818481445,13600.0,-4.255841255187988,-8.10365104675293,1.67076,0.186028,-2.04341,-2.745115280151367
