Outer_iter,MinDisToGoal,Outer_Success
0,0.24027493294143426,0.02
1,0.22832834095820892,0.02
2,0.16832345770554627,0.05
3,0.1685913494417264,0.15
4,0.17407005925643712,0.18
5,0.1625470563997775,0.19
6,0.17041515857249107,0.27
7,0.1472598268533182,0.36
8,0.13091056193678813,0.37
9,0.12185514285724923,0.45
10,0.12771849632646634,0.45
11,0.1197736828116461,0.48
12,0.13118717615026754,0.49
13,0.10936444189110443,0.49
14,0.10506015532798672,0.49
15,0.12742066627069107,0.56
16,0.09071156602950337,0.56
17,0.12857115377061037,0.59
18,0.12694250163227946,0.59
19,0.1209577217308074,0.59
20,0.09935081818639556,0.59
21,0.07269453905168623,0.59
22,0.08123820209309222,0.59
23,0.1112484274863333,0.63
24,0.09407312101161101,0.63
25,0.09113709517264491,0.63
26,0.09614954351250839,0.72
27,0.10111045641893247,0.72
28,0.10650906357558998,0.72
29,0.08026843366726982,0.72
30,0.08987139141292085,0.72
31,0.08125154565075103,0.72
32,0.08162121617889023,0.77
33,0.06951012909690374,0.77
34,0.060885864099006363,0.77
35,0.0799598320922603,0.81
36,0.08399930523044725,0.81
37,0.050660014391068396,0.81
38,0.07152426272404974,0.86
39,0.06274854276399272,0.86
40,0.0412517854860139,0.86
41,0.04157711766551346,0.86
42,0.06610815864706755,0.86
43,0.052504717578350284,0.86
44,0.03064850118008414,0.86
45,0.0452991053605668,0.89
46,0.028892229587625086,0.89
47,0.04147208043622307,0.92
48,0.03386908801629793,0.92
49,0.029648329184565694,0.92
50,0.05620068238042708,0.94
51,0.05250982865725766,0.94
52,0.0326337746786488,0.94
53,0.04139628476912546,0.94
54,0.022277384638783322,0.94
55,0.029856111643270244,0.94
56,0.04013653839841224,0.94
57,0.03613248504490245,0.94
58,0.024333135826225774,0.94
59,0.02137965508903107,0.94
60,0.023025838563945217,0.96
61,0.01783136132274082,0.96
62,0.021531259489963008,0.99
63,0.0294310649487545,0.99
64,0.01916727961843826,0.99
65,0.021697929347622227,0.99
66,0.01618717936034847,0.99
67,0.020506922092223396,0.99
68,0.0155832485520284,0.99
69,0.01397776412796202,0.99
70,0.01844831716791054,0.99
71,0.014844267429378026,0.99
72,0.01787296471880752,0.99
73,0.03760170197903046,0.99
74,0.019259077022119587,0.99
75,0.021433544648421576,0.99
76,0.021261065790235536,0.99
77,0.020235082974117614,0.99
78,0.021946486294556918,0.99
79,0.01776471721174964,0.99
80,0.012748714500524014,0.99
81,0.015409131039282072,1.0
82,0.012541726730930418,1.0
83,0.01505299903061521,1.0
84,0.015560906417785302,1.0
85,0.017692746123091324,1.0
86,0.018712454996437013,1.0
87,0.014098352317174656,1.0
88,0.023303720138347077,1.0
89,0.0165266593937251,1.0
90,0.012596535558255321,1.0
91,0.01642507285556248,1.0
92,0.013471504684682657,1.0
93,0.022083943209355455,1.0
94,0.030612706289275607,1.0
95,0.022325865577807136,1.0
96,0.02412634575909007,1.0
97,0.026970427062812507,1.0
98,0.017114919301529478,1.0
99,0.027698333415570837,1.0
100,0.01976335831588404,1.0
101,0.026276481125671797,1.0
102,0.027236557931882604,1.0
103,0.0348472801162422,1.0
104,0.022306914527078336,1.0
105,0.022826738993830368,1.0
106,0.025626479131983203,1.0
107,0.015485620620289402,1.0
108,0.02523959299684573,1.0
109,0.014660155839837395,1.0
110,0.015686651906597886,1.0
111,0.018506654693840656,1.0
112,0.018457968827136427,1.0
113,0.019844453236657865,1.0
114,0.022747386701541198,1.0
115,0.01275800835481718,1.0
116,0.011762589853921234,1.0
117,0.014648511985572344,1.0
118,0.01099610938468591,1.0
119,0.013728491357405623,1.0
120,0.012572152716357891,1.0
121,0.01254706483888484,1.0
122,0.027037537841583734,1.0
123,0.027356250635629784,1.0
124,0.012946209737739191,1.0
125,0.01137007760324144,1.0
126,0.017606338262822662,1.0
127,0.02729090001716969,1.0
128,0.024816598949446836,1.0
129,0.03082569320827782,1.0
130,0.05463439653182664,1.0
131,0.02488799121146907,1.0
132,0.02654474543216221,1.0
133,0.018379700418115555,1.0
134,0.015799295243907215,1.0
135,0.011899586822920014,1.0
136,0.013656773984076793,1.0
137,0.015011935621202687,1.0
138,0.02159268037743208,1.0
139,0.010673156291748342,1.0
140,0.01380411812028517,1.0
141,0.011545276994743964,1.0
142,0.014173604594733909,1.0
143,0.014284608151254086,1.0
144,0.01260728683748974,1.0
145,0.011228007892469884,1.0
146,0.015259650142732202,1.0
147,0.015623811058085331,1.0
148,0.020497213725580398,1.0
149,0.012393335417653877,1.0
150,0.019523581671424928,1.0
151,0.013737464511208749,1.0
152,0.014387633741207849,1.0
153,0.0133248168223011,1.0
154,0.01632775610357455,1.0
155,0.01522426059834407,1.0
156,0.010737316629582454,1.0
157,0.01136141136449593,1.0
158,0.012103669904336289,1.0
159,0.015895939237527166,1.0
160,0.011681339926551787,1.0
161,0.011518251936471999,1.0
162,0.010616160144965374,1.0
163,0.0171230949074453,1.0
164,0.016099430145714782,1.0
165,0.013442488277756563,1.0
166,0.013500126988241008,1.0
167,0.011710824376598183,1.0
168,0.012751054778957029,1.0
169,0.011979791966447297,1.0
170,0.013555845153101662,1.0
171,0.015477256277398235,1.0
172,0.011540073447870145,1.0
173,0.011535360487338749,1.0
174,0.014006851776030258,1.0
175,0.012952329063388083,1.0
176,0.01703585172250717,1.0
177,0.011934343760845218,1.0
178,0.01419801723671085,1.0
179,0.012454450332008536,1.0
180,0.011932567991638292,1.0
181,0.011772554978474766,1.0
182,0.012796974055547533,1.0
183,0.011102454215529073,1.0
184,0.014906249623228477,1.0
185,0.010633793899095668,1.0
186,0.012529667172206896,1.0
187,0.01604043242618514,1.0
188,0.011137103001919921,1.0
189,0.012231753379395336,1.0
190,0.011478439876198137,1.0
191,0.010337161732360519,1.0
192,0.008394806735955041,1.0
193,0.014516188150012665,1.0
194,0.01236569145616389,1.0
195,0.011390787183348218,1.0
196,0.013650843295469235,1.0
197,0.013229586211085916,1.0
198,0.012317586813518864,1.0
199,0.010308209150059812,1.0
200,0.00876428810182585,1.0
201,0.011199176990865235,1.0
202,0.027228072786996634,1.0
203,0.015502738702666479,1.0
204,0.012473586351303204,1.0
205,0.018791701296802292,1.0
206,0.014878731149097355,1.0
207,0.014345010001469274,1.0
208,0.013255225820119326,1.0
209,0.013166442050224308,1.0
210,0.011183308934939538,1.0
211,0.012835483548229814,1.0
212,0.009451857573724801,1.0
213,0.010564488147885374,1.0
214,0.010822907807898529,1.0
215,0.013095334087735293,1.0
216,0.013090766861186263,1.0
217,0.011067518174458568,1.0
218,0.009334622170529895,1.0
219,0.010561261579064554,1.0
220,0.010410634099011813,1.0
221,0.01037853539951304,1.0
222,0.010899893718527731,1.0
223,0.02348133211378566,1.0
224,0.017693282077122018,1.0
225,0.014677732081624706,1.0
226,0.011924606211068825,1.0
227,0.014227587174557356,1.0
228,0.014728292874514683,1.0
229,0.022317413015933613,1.0
230,0.015188023151207325,1.0
231,0.012303237339604967,1.0
232,0.010548790656000485,1.0
233,0.01048171472557092,1.0
234,0.01065028537730262,1.0
235,0.012018994670487965,1.0
236,0.013924957130526246,1.0
237,0.015418524090302858,1.0
238,0.011848994415111207,1.0
239,0.01039761315134468,1.0
240,0.01047235374564095,1.0
241,0.013098043981490549,1.0
242,0.013955479155829122,1.0
243,0.012193939721783625,1.0
244,0.010592776834739453,1.0
245,0.016755647315904655,1.0
246,0.012019380430201959,1.0
247,0.010215842420780158,1.0
248,0.011026329944463753,1.0
249,0.01253894494730562,1.0
250,0.014551488474382323,1.0
251,0.011020662351774815,1.0
252,0.008886974852137155,1.0
253,0.013360552376593796,1.0
254,0.012234847116746382,1.0
255,0.013292039300370881,1.0
256,0.011361341274898542,1.0
257,0.01213697429746499,1.0
258,0.01018268370190742,1.0
259,0.010982378912776642,1.0
260,0.01157296342367473,1.0
261,0.011724402337406846,1.0
262,0.012373726491604509,1.0
263,0.012100014765072916,1.0
264,0.01147233523587908,1.0
265,0.010795853619069611,1.0
266,0.00901807250696809,1.0
267,0.010134417986007851,1.0
268,0.012882139159798805,1.0
269,0.010676325385947948,1.0
270,0.010852287415875595,1.0
271,0.011761204695137428,1.0
272,0.013425124006304658,1.0
273,0.015160545631382076,1.0
274,0.011140601877132728,1.0
275,0.010814271115126863,1.0
276,0.009554143653034128,1.0
277,0.012679046027029201,1.0
278,0.010708356694056599,1.0
279,0.016627457426445592,1.0
280,0.011341490280992867,1.0
281,0.010169955350287236,1.0
282,0.010860841068391563,1.0
283,0.012732777585018996,1.0
284,0.009465681199380533,1.0
285,0.011027959727483272,1.0
286,0.011273572771604276,1.0
287,0.009842208217131342,1.0
288,0.01158866118612718,1.0
289,0.01410246805509202,1.0
290,0.015117680376371144,1.0
291,0.020836290526033103,1.0
292,0.014637997080860716,1.0
293,0.015033911356604111,1.0
294,0.011336753917682513,1.0
295,0.011239343426908537,1.0
296,0.011234403772677154,1.0
297,0.013330862740750307,1.0
298,0.014158554758759238,1.0
299,0.010367278617586273,1.0
300,0.012835122484978851,1.0
301,0.009949214180756531,1.0
302,0.01092065441159253,1.0
303,0.01675972342139678,1.0
304,0.01662807105749757,1.0
305,0.010524885884376521,1.0
306,0.014160164039569418,1.0
307,0.010910833194405514,1.0
308,0.012013592825446234,1.0
309,0.011231412597080133,1.0
310,0.011382918133971874,1.0
311,0.013091879798319692,1.0
312,0.01820629234730161,1.0
313,0.013553043796149642,1.0
314,0.009239641708823796,1.0
315,0.013589033692206511,1.0
316,0.011014886667778907,1.0
317,0.010777346715125133,1.0
318,0.011971356864629655,1.0
319,0.011949655953194329,1.0
320,0.010368064121212136,1.0
321,0.012299387250736631,1.0
322,0.010571214147081141,1.0
323,0.012211693572813051,1.0
324,0.008994092684458211,1.0
325,0.012885452970137207,1.0
326,0.009759194643871339,1.0
327,0.015321437942847288,1.0
328,0.011688186111397925,1.0
329,0.011778645086608856,1.0
330,0.010997449197417308,1.0
331,0.01010452297843836,1.0
332,0.01571410088835848,1.0
333,0.014957615645293455,1.0
334,0.014730334393154108,1.0
335,0.01271520068159359,1.0
336,0.013428575136833645,1.0
337,0.00937022814975041,1.0
338,0.012284012382680893,1.0
339,0.010181290704203552,1.0
340,0.015155173804601893,1.0
341,0.012488596831064276,1.0
342,0.011906773059991443,1.0
343,0.01463733149674044,1.0
344,0.012332326755101009,1.0
345,0.010067352719455807,1.0
346,0.013617020338973664,1.0
347,0.012212024527365481,1.0
348,0.010775576079389839,1.0
349,0.01644693424899521,1.0
350,0.015614052727715811,1.0
351,0.013832807494685509,1.0
352,0.010650515432949884,1.0
353,0.010402836050698574,1.0
354,0.01059065819256029,1.0
355,0.010561096835094317,1.0
356,0.014560036522150752,1.0
357,0.021169513781355297,1.0
358,0.015758347304120453,1.0
359,0.013395500427824357,1.0
360,0.014683306255427998,1.0
361,0.009613296997229334,1.0
362,0.013318437776783956,1.0
363,0.013823959435437684,1.0
364,0.01897903119674726,1.0
365,0.017503983974482808,1.0
366,0.011864625323984175,1.0
367,0.01491830237710584,1.0
368,0.009610460593036841,1.0
369,0.017367859813386167,1.0
370,0.011178128825951112,1.0
371,0.014759020817790524,1.0
372,0.0136059650641635,1.0
373,0.0135313896257374,1.0
374,0.013447678648255381,1.0
375,0.014624128721021536,1.0
376,0.014103232652408197,1.0
377,0.018960093427282058,1.0
378,0.012326245775320235,1.0
379,0.010758686014627794,1.0
380,0.012249680865551038,1.0
381,0.015946058789590087,1.0
382,0.01356661438405276,1.0
383,0.010451185718763188,1.0
384,0.01901555069920626,1.0
385,0.018615437875370202,1.0
386,0.012392720291081209,1.0
387,0.01838439302670498,1.0
388,0.013370771698800188,1.0
389,0.015719537411843662,1.0
390,0.01563035445309765,1.0
391,0.008041842221372206,1.0
392,0.012678350002066461,1.0
393,0.008921451209576622,1.0
394,0.01884769501119418,1.0
395,0.011851507924932952,1.0
396,0.010891173718165408,1.0
397,0.013021768479399702,1.0
398,0.010425658536545323,1.0
399,0.011813079496322498,1.0
400,0.03204491198086389,1.0
401,0.015502783332733003,1.0
402,0.01895139865520508,1.0
403,0.022421967030814272,1.0
404,0.012902127070144827,1.0
405,0.010720200182973096,1.0
406,0.011343746250766664,1.0
407,0.01117673186790421,1.0
408,0.014448237191426355,1.0
409,0.017194585413128724,1.0
410,0.015023370808391752,1.0
411,0.022926016160992334,1.0
412,0.010171082143537962,1.0
413,0.012711678431736389,1.0
414,0.013785609323155194,1.0
415,0.010959070974211584,1.0
416,0.014346417092273326,1.0
417,0.010656573886125509,1.0
418,0.014246764426290309,1.0
419,0.012097269664599784,1.0
420,0.013812043504822305,1.0
421,0.011333016021595003,1.0
422,0.013105320882490813,1.0
423,0.012893158434143985,1.0
424,0.013760339792914623,1.0
425,0.012073748609769439,1.0
426,0.012080257652513209,1.0
427,0.009916113656017253,1.0
428,0.011880869872254817,1.0
429,0.012866071459470082,1.0
430,0.011945161529276504,1.0
431,0.013708693567498622,1.0
432,0.01060750821535193,1.0
433,0.011210850535058792,1.0
434,0.01166798152776257,1.0
435,0.011854792545952,1.0
436,0.010796259678710557,1.0
437,0.01328588078560399,1.0
438,0.01294812317581273,1.0
439,0.010588382669328256,1.0
440,0.014927111236100117,1.0
441,0.01240270473738156,1.0
442,0.011155774520195998,1.0
443,0.012088699256469316,1.0
444,0.026149082150256575,1.0
445,0.01834801591014997,1.0
446,0.011059560470700495,1.0
