Outer_iter,MinDisToGoal,Outer_Success
0,0.2357991865086593,0.02
1,0.2414068228921594,0.02
2,0.199133355553236,0.04
3,0.20746586479069468,0.11
4,0.21309038752500684,0.14
5,0.20555958721142126,0.14
6,0.20644356339417272,0.14
7,0.20781354560954443,0.15
8,0.1852341181768273,0.15
9,0.19940430903671363,0.21
10,0.14990045380797448,0.21
11,0.17462051930374925,0.26
12,0.15714134650504297,0.33
13,0.1653893167193456,0.33
14,0.15785054362942413,0.37
15,0.1462728918235701,0.37
16,0.1415951800133434,0.42
17,0.14450891460611076,0.46
18,0.18143813404022602,0.46
19,0.16331787908008355,0.46
20,0.19771671954059492,0.46
21,0.12782920096870928,0.46
22,0.13003429182916265,0.54
23,0.10082466314725373,0.54
24,0.09024611517000429,0.67
25,0.16005945710305677,0.67
26,0.1534367165973954,0.67
27,0.13222311532374456,0.67
28,0.1413043664155221,0.67
29,0.12166372060764184,0.67
30,0.106740555017966,0.67
31,0.14530209094459143,0.67
32,0.1456529074571743,0.67
33,0.1143659138941611,0.67
34,0.11451064363556192,0.67
35,0.14698835117262274,0.67
36,0.13324004100298956,0.67
37,0.13035528692392467,0.67
38,0.09321013886024312,0.67
39,0.11248631384358534,0.67
40,0.11268350301872623,0.67
41,0.09937478812246121,0.67
42,0.08705059837880676,0.67
43,0.09135778154676438,0.67
44,0.11749874113015117,0.67
45,0.107870327949452,0.67
46,0.12221531248746487,0.67
47,0.1129025222965604,0.67
48,0.12550558924882957,0.67
49,0.13990341246913057,0.67
50,0.1294280644491267,0.67
51,0.11781331444307608,0.67
52,0.12414504502769769,0.67
53,0.13755183335607601,0.67
54,0.10701480307893212,0.67
55,0.1026453084945536,0.67
56,0.1307845990857083,0.67
57,0.10650871617478176,0.67
58,0.08746445993774858,0.67
59,0.09679672909451346,0.67
60,0.08571006507066647,0.67
61,0.09875741503914894,0.67
62,0.09989211312873326,0.67
63,0.062303101232263465,0.67
64,0.08483174043054376,0.71
65,0.07008866860582189,0.71
66,0.055574894915912665,0.71
67,0.08127677762656632,0.71
68,0.07544406638270333,0.71
69,0.07929271000677027,0.71
70,0.07953704339706558,0.71
71,0.058704024717923096,0.71
72,0.06849077625127102,0.71
73,0.06072438966468107,0.71
74,0.09695524950867362,0.71
75,0.050923181747272166,0.71
76,0.08142617585823375,0.74
77,0.0655953816076698,0.74
78,0.06785364885510786,0.74
79,0.06330215913953095,0.74
80,0.05852864263791058,0.74
81,0.05056061066550239,0.74
82,0.05618496106602055,0.74
83,0.06411386699414601,0.74
84,0.057927516054008005,0.74
85,0.05776149682119365,0.74
86,0.06335612433415587,0.74
87,0.0691412023272405,0.74
88,0.053237398142360795,0.74
89,0.06137142070830115,0.74
90,0.05023577518476032,0.74
91,0.07559156335740976,0.74
92,0.08239386078817555,0.74
93,0.05606012247758978,0.74
94,0.07380896515443965,0.74
95,0.05160843536371448,0.74
96,0.06889964368519372,0.74
97,0.058836039902743845,0.74
98,0.07462474122225587,0.74
99,0.055450044269202275,0.74
100,0.05663190477772167,0.74
101,0.08134148738107626,0.74
102,0.0799280417837182,0.74
103,0.06872284812732404,0.74
104,0.07918081830277793,0.74
105,0.08389562469056581,0.74
106,0.09291997020718763,0.74
107,0.08128887883078693,0.74
108,0.07865618055997081,0.74
109,0.07903224418844176,0.74
110,0.06323843318616464,0.74
111,0.07649879857275622,0.74
112,0.074605871807621,0.74
113,0.08146802598294554,0.74
114,0.08209484376496355,0.74
115,0.054098040700896084,0.74
116,0.07041312072541873,0.74
117,0.05878016684914862,0.74
118,0.05717877139461408,0.74
119,0.06456704707455165,0.74
120,0.07274950713840508,0.74
121,0.07470863448649474,0.74
122,0.08547951243678666,0.74
123,0.08168471478000025,0.74
124,0.09954718302106239,0.74
125,0.06825389227115758,0.74
126,0.06955966527498622,0.74
127,0.06557883902050951,0.74
128,0.07603073039357432,0.74
129,0.06685328135258296,0.74
130,0.05580343283285396,0.74
131,0.07327789587597876,0.74
132,0.08430443480108382,0.74
133,0.08419162346789602,0.74
134,0.0799002376877806,0.74
135,0.06838259532597092,0.74
136,0.0790414864330401,0.74
137,0.059678310739191893,0.74
138,0.07048414799116372,0.74
139,0.0657506234662619,0.74
140,0.06606346776757058,0.74
141,0.06661406398246796,0.74
142,0.06836717848564601,0.74
143,0.06651555063062507,0.74
144,0.058853993271572466,0.74
145,0.06151517630027561,0.74
146,0.06999792421769394,0.74
147,0.07367445162045808,0.74
148,0.07442650950337386,0.74
149,0.05903260780994976,0.74
150,0.055673569342100715,0.74
151,0.05725178171914795,0.74
152,0.05744082223480989,0.74
153,0.0712725161079392,0.74
154,0.06971501728133044,0.74
155,0.06279990252418811,0.74
156,0.0696072445412221,0.74
157,0.0600200732741947,0.74
158,0.06579325745867207,0.74
159,0.07645382895764094,0.74
160,0.07514662235077346,0.74
161,0.07262197813966349,0.74
162,0.052187825965584474,0.74
163,0.04753835801742359,0.74
164,0.06218121697176513,0.75
165,0.06977482516076962,0.75
166,0.07152778055428845,0.75
167,0.07148215026428917,0.75
168,0.0647756455824398,0.75
169,0.077924363108576,0.75
170,0.06961604324674575,0.75
171,0.07406110210203029,0.75
172,0.0789456793953035,0.75
173,0.08382461903184833,0.75
174,0.05930183858787658,0.75
175,0.07325868034022495,0.75
176,0.07917764271423879,0.75
177,0.05422225695690721,0.75
178,0.0871227500528152,0.75
179,0.06765182973559222,0.75
180,0.056037586012726154,0.75
181,0.06799709968632965,0.75
182,0.08553633114030582,0.75
183,0.07103201772389837,0.75
184,0.06645655277887473,0.75
185,0.06318224969024895,0.75
186,0.057174032896657255,0.75
187,0.07123738885262007,0.75
188,0.056684777876394594,0.75
189,0.05933376076072506,0.75
190,0.06439675511416917,0.75
191,0.06649295624708823,0.75
192,0.06331800769385343,0.75
193,0.08364642295277427,0.75
194,0.06904038844163062,0.75
195,0.07104288135182005,0.75
196,0.08251004087450249,0.75
197,0.07825399791602605,0.75
198,0.07710163828405503,0.75
199,0.08228010744390399,0.75
200,0.07911996760820637,0.75
201,0.06136744654992293,0.75
202,0.06994638439780042,0.75
203,0.07449440147349651,0.75
204,0.07764777424360667,0.75
205,0.08152329719982811,0.75
