Outer_iter,MinDisToGoal,Outer_Success
0,0.22053669856845104,0.05
1,0.21484817765646005,0.05
2,0.2018032422217887,0.05
3,0.20021868423273564,0.07
4,0.1902364144978387,0.15
5,0.19453238222493976,0.15
6,0.1905713308039894,0.21
7,0.16249942136631174,0.21
8,0.16060285515888495,0.22
9,0.1563381790072623,0.36
10,0.14194605840315727,0.36
11,0.16426690858951024,0.46
12,0.16194504486037087,0.46
13,0.1607109745324011,0.46
14,0.1503523665924018,0.46
15,0.16132358400801514,0.47
16,0.16053834384301965,0.47
17,0.14763072916104197,0.53
18,0.16580868674318272,0.53
19,0.14432600086644434,0.53
20,0.1650761112452042,0.53
21,0.1531725100547214,0.53
22,0.1504173617961732,0.53
23,0.13115777660687672,0.53
24,0.10081427069567953,0.59
25,0.14848439308063746,0.59
26,0.14348053253121534,0.59
27,0.17520093950900276,0.59
28,0.15083580560475024,0.59
29,0.13430650607549866,0.59
30,0.11080162326446041,0.59
31,0.10559994440124948,0.64
32,0.09053243931021676,0.64
33,0.11367019182063683,0.64
34,0.12672334587769282,0.64
35,0.06490275673966638,0.64
36,0.07940070398246953,0.74
37,0.07650577855405244,0.76
38,0.08380872687470281,0.76
39,0.05435762551232985,0.76
40,0.07248477759705586,0.85
41,0.062093313610457744,0.85
42,0.06014395453473417,0.85
43,0.04135682280400167,0.85
44,0.06925196211777612,0.85
45,0.06475186065480687,0.85
46,0.055088203551431604,0.85
47,0.032677836434275694,0.85
48,0.06779881845225746,0.9
49,0.04259657193266781,0.9
50,0.03906286145247323,0.9
51,0.06535675659813725,0.9
52,0.04061825135444444,0.9
53,0.03539198782074638,0.9
54,0.04475356065665112,0.9
55,0.0283891557321253,0.9
56,0.04307265326654682,0.92
57,0.0691097135067171,0.92
58,0.028433406835698272,0.92
59,0.06316101836757987,0.94
60,0.047610051917651906,0.94
61,0.04837719892780086,0.94
62,0.0508785969612879,0.94
63,0.06900630473478203,0.94
64,0.04013881154592891,0.94
65,0.028056720123284796,0.94
66,0.03794763878207311,0.94
67,0.05563379867927342,0.94
68,0.05127209956793344,0.94
69,0.05529917046684562,0.94
70,0.05791270796672606,0.94
71,0.0325583277358412,0.94
72,0.04542653861411065,0.94
73,0.04385857156570954,0.94
74,0.046725311066012826,0.94
75,0.03389601723948914,0.94
76,0.05574198103374625,0.94
77,0.03408815719280581,0.94
78,0.038739370561157005,0.94
79,0.039417527991643914,0.94
80,0.050048941492223005,0.94
81,0.05312202096445581,0.94
82,0.03010067830045371,0.94
83,0.0237832073355422,0.94
84,0.03171111646616164,0.95
85,0.03373447110762523,0.95
86,0.03971910479892507,0.95
87,0.04151725462008424,0.95
88,0.020743947188325507,0.95
89,0.03865403168752899,0.97
90,0.03644741607478515,0.97
91,0.01652837973003711,0.97
92,0.03942498404135331,0.97
93,0.02369398950027287,0.97
94,0.02422860729623476,0.97
95,0.022963544599297135,0.97
96,0.030411570663867363,0.97
97,0.024825273956500207,0.97
98,0.03267858271887491,0.97
99,0.015051277535687645,0.97
100,0.03217410143640102,0.97
101,0.02265935600144596,0.97
102,0.033013713518087615,0.97
103,0.033830409411902816,0.97
104,0.027779735547237783,0.97
105,0.017134379882784375,0.97
106,0.03676361021076982,0.98
107,0.03590864268500641,0.98
108,0.027149687950469126,0.98
109,0.04197440761958734,0.98
110,0.028369751252027797,0.98
