Outer_Success,Outer_iter,Outer_MeanRewards
0.678278688525,1,0.0
0.733606557377,2,0.0
0.852459016393,3,0.0
0.805327868852,4,0.0
0.774590163934,5,0.0
0.764344262295,6,0.0
0.838114754098,7,0.0
0.754098360656,8,0.0
0.795081967213,9,0.0
0.813524590164,10,0.0
0.827868852459,11,0.0
0.774590163934,12,0.0
0.80737704918,13,0.0
0.80737704918,14,0.0
0.719262295082,15,0.0
0.784836065574,16,0.0
0.793032786885,17,0.0
0.825819672131,18,0.0
0.793032786885,19,0.0
0.81762295082,20,0.0
0.776639344262,21,0.0
0.81762295082,22,0.0
0.801229508197,23,0.0
0.834016393443,24,0.0
0.795081967213,25,0.0
0.811475409836,26,0.0
0.81762295082,27,0.0
0.793032786885,28,0.0
0.813524590164,29,0.0
0.834016393443,30,0.0
0.784836065574,31,0.0
0.741803278689,32,0.0
0.80737704918,33,0.0
0.713114754098,34,0.0
0.793032786885,35,0.0
0.784836065574,36,0.0
0.782786885246,37,0.0
0.795081967213,38,0.0
0.797131147541,39,0.0
0.786885245902,40,0.0
0.782786885246,41,0.0
0.78893442623,42,0.0
0.723360655738,43,0.0
0.745901639344,44,0.0
0.709016393443,45,0.0
0.577868852459,46,0.0
0.717213114754,47,0.0
0.784836065574,48,0.0
0.776639344262,49,0.0
0.809426229508,50,0.0
0.815573770492,51,0.0
0.805327868852,52,0.0
0.795081967213,53,0.0
0.790983606557,54,0.0
0.854508196721,55,0.0
0.81762295082,56,0.0
0.811475409836,57,0.0
0.825819672131,58,0.0
0.831967213115,59,0.0
0.764344262295,60,0.0
0.731557377049,61,0.0
0.752049180328,62,0.0
0.733606557377,63,0.0
0.760245901639,64,0.0
0.784836065574,65,0.0
0.737704918033,66,0.0
0.780737704918,67,0.0
0.741803278689,68,0.0
0.801229508197,69,0.0
0.805327868852,70,0.0
0.797131147541,71,0.0
0.754098360656,72,0.0
0.747950819672,73,0.0
0.756147540984,74,0.0
0.803278688525,75,0.0
0.803278688525,76,0.0
0.733606557377,77,0.0
0.739754098361,78,0.0
0.717213114754,79,0.0
0.702868852459,80,0.0
0.709016393443,81,0.0
0.727459016393,82,0.0
0.709016393443,83,0.0
0.743852459016,84,0.0
0.747950819672,85,0.0
0.676229508197,86,0.0
0.735655737705,87,0.0
0.723360655738,88,0.0
0.762295081967,89,0.0
0.766393442623,90,0.0
0.715163934426,91,0.0
0.747950819672,92,0.0
