Outer_Success,MinDisToGoal,Outer_iter
0.04,0.23056920875404482,0
0.04,0.2419667595458658,1
0.04,0.2488770771711984,2
0.04,0.23193455318292988,3
0.04,0.22874311744819978,4
0.04,0.25258761026971244,5
0.05,0.2389696864218867,6
0.05,0.23862619289082485,7
0.05,0.2184172279518999,8
0.05,0.24198534931635085,9
0.05,0.24009306414051695,10
0.05,0.234590461231965,11
0.05,0.2546808582928954,12
0.05,0.2266430344588536,13
0.05,0.23087302016407857,14
0.05,0.2066804301938256,15
0.08,0.24704559875387425,16
0.08,0.26002203835121696,17
0.08,0.24776449265363154,18
0.08,0.2076930407634654,19
0.08,0.2324919203340857,20
0.08,0.24082686950570245,21
0.08,0.24875275916101633,22
0.08,0.2250524892428826,23
0.08,0.2673224959594783,24
0.08,0.22939037070527693,25
0.08,0.2481491831333637,26
0.08,0.25370125971437324,27
0.08,0.24657357791785295,28
0.08,0.24312974907339682,29
0.08,0.23933218719541466,30
0.08,0.22571801447881978,31
0.08,0.23011206574246088,32
0.08,0.23201636786523555,33
0.09,0.2318151431468637,34
0.09,0.2317581839703996,35
0.09,0.23181356038225226,36
0.09,0.22640320220363383,37
0.09,0.20658840808387885,38
0.09,0.21412120740897855,39
0.1,0.22924179029960082,40
0.1,0.1974804641624424,41
0.12,0.2040236180993815,42
0.12,0.19349789178126084,43
0.19,0.2464017866477196,44
0.19,0.2053732186557649,45
0.19,0.24235321471403334,46
0.19,0.20688808496463099,47
0.19,0.16395514392290467,48
0.33,0.1903683111462832,49
0.33,0.21685148420476622,50
0.33,0.1800346340977694,51
0.33,0.19126630836876765,52
0.33,0.1647988051626289,53
0.38,0.17990335101723506,54
0.38,0.18963145636436837,55
0.38,0.14997351477376727,56
0.4,0.1675520646292323,57
0.4,0.17764187994243769,58
0.4,0.1823609878055705,59
0.4,0.17897326247627873,60
0.4,0.1547995077571045,61
0.42,0.1686628946836125,62
0.42,0.1565399839973483,63
0.42,0.15144643346036643,64
0.42,0.14497674284872272,65
0.45,0.16097503316781914,66
0.45,0.14028693267412948,67
0.46,0.16780140285288733,68
0.46,0.16725631350731976,69
0.46,0.13192918748280963,70
0.51,0.17724509998453963,71
0.51,0.16648727701961658,72
0.51,0.1623709975927813,73
0.51,0.14442911844462322,74
0.52,0.15162220887137745,75
0.52,0.17565882825323453,76
0.52,0.13025690757844693,77
0.52,0.1543618412417681,78
0.52,0.14847345668701492,79
0.52,0.13435476170250937,80
0.52,0.16355160181997058,81
0.52,0.15183226942936964,82
0.52,0.1636166501183168,83
0.52,0.16844976278108484,84
0.52,0.15945146130716187,85
0.52,0.16960857601960275,86
0.52,0.16490842746924844,87
0.52,0.13730039916750666,88
0.52,0.16241946326832532,89
0.52,0.17681969192537117,90
0.52,0.17339202946302992,91
0.52,0.1727877925051195,92
0.52,0.15346338994710956,93
0.52,0.1372379735932695,94
0.52,0.15393535256421942,95
0.52,0.16808846896178228,96
0.52,0.14897391774970525,97
0.52,0.1390569661799414,98
0.52,0.19236422977830883,99
0.52,0.15416572362998426,100
0.52,0.17611421259497326,101
0.52,0.15671426657809195,102
0.52,0.15363738560369705,103
0.52,0.13830156851291014,104
0.52,0.1582397855110277,105
0.52,0.15029924336306275,106
0.52,0.16348059223979175,107
0.52,0.1402169034682717,108
0.52,0.16074860725262685,109
0.52,0.17529211215108795,110
0.52,0.17254606045660123,111
0.52,0.1272065598866665,112
0.55,0.14267736505196424,113
0.55,0.1567898534015324,114
0.55,0.1400331424136873,115
0.55,0.1242528584628934,116
0.55,0.13208843673206624,117
0.55,0.15703630214936795,118
0.55,0.15115595781514493,119
0.55,0.14956812349977,120
0.55,0.1528634681511215,121
0.55,0.1709874705055637,122
0.55,0.1558884340991351,123
0.55,0.16235124902529288,124
0.55,0.18141780396808244,125
0.55,0.16244858061935502,126
0.55,0.14745457982516433,127
0.55,0.16458009128888787,128
0.55,0.15609645891040844,129
0.55,0.14037223549641753,130
0.55,0.14229215251548055,131
0.55,0.14470834802607885,132
0.55,0.10957108072085635,133
0.55,0.13831626833339425,134
0.55,0.17532066397289472,135
0.55,0.1367802787494642,136
0.55,0.150301227913944,137
0.55,0.16103822051930736,138
0.55,0.14439601165323704,139
0.55,0.15278783537971494,140
0.55,0.16855888820288142,141
