Outer_iter,Outer_MeanRewards,Outer_Success
1,0.0368852459016,0.0368852459016
2,0.0512295081967,0.0512295081967
3,0.19262295082,0.19262295082
4,0.354508196721,0.354508196721
5,0.293032786885,0.293032786885
6,0.350409836066,0.350409836066
7,0.40368852459,0.40368852459
8,0.540983606557,0.540983606557
9,0.614754098361,0.614754098361
10,0.752049180328,0.752049180328
11,0.754098360656,0.754098360656
12,0.625,0.625
13,0.784836065574,0.784836065574
14,0.848360655738,0.848360655738
15,0.868852459016,0.868852459016
16,0.899590163934,0.899590163934
17,0.803278688525,0.803278688525
18,0.754098360656,0.754098360656
19,0.782786885246,0.782786885246
20,0.897540983607,0.897540983607
21,0.870901639344,0.870901639344
22,0.885245901639,0.885245901639
23,0.893442622951,0.893442622951
24,0.93237704918,0.93237704918
25,0.950819672131,0.950819672131
26,0.944672131148,0.944672131148
27,0.959016393443,0.959016393443
28,0.952868852459,0.952868852459
29,0.969262295082,0.969262295082
30,0.954918032787,0.954918032787
31,0.969262295082,0.969262295082
32,0.96106557377,0.96106557377
33,0.948770491803,0.948770491803
34,0.965163934426,0.965163934426
35,0.973360655738,0.973360655738
36,0.96106557377,0.96106557377
37,0.969262295082,0.969262295082
38,0.969262295082,0.969262295082
39,0.97131147541,0.97131147541
40,0.969262295082,0.969262295082
41,0.973360655738,0.973360655738
42,0.963114754098,0.963114754098
43,0.952868852459,0.952868852459
44,0.950819672131,0.950819672131
45,0.954918032787,0.954918032787
46,0.963114754098,0.963114754098
47,0.96106557377,0.96106557377
48,0.965163934426,0.965163934426
49,0.959016393443,0.959016393443
50,0.963114754098,0.963114754098
51,0.959016393443,0.959016393443
52,0.963114754098,0.963114754098
53,0.96106557377,0.96106557377
54,0.969262295082,0.969262295082
55,0.967213114754,0.967213114754
56,0.969262295082,0.969262295082
57,0.969262295082,0.969262295082
58,0.967213114754,0.967213114754
59,0.975409836066,0.975409836066
60,0.975409836066,0.975409836066
61,0.967213114754,0.967213114754
62,0.973360655738,0.973360655738
63,0.973360655738,0.973360655738
64,0.97131147541,0.97131147541
65,0.959016393443,0.959016393443
66,0.967213114754,0.967213114754
67,0.977459016393,0.977459016393
68,0.979508196721,0.979508196721
69,0.967213114754,0.967213114754
70,0.975409836066,0.975409836066
71,0.969262295082,0.969262295082
72,0.97131147541,0.97131147541
73,0.97131147541,0.97131147541
74,0.973360655738,0.973360655738
75,0.975409836066,0.975409836066
76,0.975409836066,0.975409836066
77,0.963114754098,0.963114754098
78,0.97131147541,0.97131147541
79,0.969262295082,0.969262295082
80,0.975409836066,0.975409836066
81,0.969262295082,0.969262295082
82,0.979508196721,0.979508196721
83,0.973360655738,0.973360655738
84,0.973360655738,0.973360655738
85,0.977459016393,0.977459016393
86,0.981557377049,0.981557377049
87,0.983606557377,0.983606557377
88,0.985655737705,0.985655737705
89,0.983606557377,0.983606557377
90,0.983606557377,0.983606557377
91,0.979508196721,0.979508196721
92,0.987704918033,0.987704918033
93,0.983606557377,0.983606557377
94,0.983606557377,0.983606557377
95,0.973360655738,0.973360655738
96,0.977459016393,0.977459016393
97,0.977459016393,0.977459016393
98,0.983606557377,0.983606557377
99,0.979508196721,0.979508196721
100,0.977459016393,0.977459016393
101,0.981557377049,0.981557377049
102,0.975409836066,0.975409836066
103,0.973360655738,0.973360655738
104,0.959016393443,0.959016393443
105,0.965163934426,0.965163934426
106,0.967213114754,0.967213114754
107,0.965163934426,0.965163934426
108,0.967213114754,0.967213114754
109,0.96106557377,0.96106557377
110,0.97131147541,0.97131147541
111,0.963114754098,0.963114754098
112,0.969262295082,0.969262295082
113,0.965163934426,0.965163934426
114,0.977459016393,0.977459016393
115,0.979508196721,0.979508196721
116,0.969262295082,0.969262295082
117,0.963114754098,0.963114754098
118,0.973360655738,0.973360655738
119,0.97131147541,0.97131147541
120,0.979508196721,0.979508196721
121,0.975409836066,0.975409836066
122,0.977459016393,0.977459016393
123,0.973360655738,0.973360655738
124,0.975409836066,0.975409836066
