d_agent_mean,d_agent_std,stats_g/mean,d_expert_mean,stats_o/std,stats_g/std,train/mean_Q,epoch,d_expert_std,stats_o/mean,train/episode,train/success_rate
-2.17788,1.60293,-8.138301849365234,-0.286684,4.447622299194336,6.697027683258057,-4.68289041519165,0,0.159428,-4.360649108886719,13300.0,0.66
-2.07299,1.33353,-8.13955020904541,-0.313725,4.447086811065674,6.6972832679748535,-5.88729190826416,1,0.191995,-4.359399795532227,13350.0,0.6
-1.99886,1.31548,-8.13670539855957,-0.30103,4.44685697555542,6.698134422302246,-6.0135273933410645,2,0.175736,-4.3574981689453125,13400.0,0.52
-2.20474,1.48717,-8.13986587524414,-0.331912,4.44712495803833,6.697894096374512,-6.538883686065674,3,0.194573,-4.359086990356445,13450.0,0.54
