train/success_rate,epoch,d_agent_mean,d_expert_mean,d_expert_std,train/mean_Q,stats_o/mean,stats_g/std,train/episode,stats_g/mean,stats_o/std,d_agent_std
0.64,0,-1.92952,-0.329422,0.162718,-2.478569269180298,-4.0047430992126465,6.945854187011719,13550.0,-7.565290927886963,4.514474868774414,1.35078
0.74,1,-2.03259,-0.320356,0.173178,-3.745051383972168,-4.0049943923950195,6.945589065551758,13600.0,-7.565337657928467,4.5144243240356445,1.38228
0.68,2,-1.89753,-0.318311,0.151272,-3.812260389328003,-4.00496768951416,6.945690155029297,13650.0,-7.565034866333008,4.514121055603027,1.26859
