Outer_Success,MinDisToGoal,Outer_iter
0.01,0.224109038211378,0
0.01,0.2420259308790242,1
0.04,0.23836547733333258,2
0.04,0.2514555957344654,3
0.04,0.236012282249516,4
0.04,0.23873005157858795,5
0.04,0.24299093032131633,6
0.04,0.2544872669500943,7
0.04,0.2273937435596399,8
0.05,0.2333944128423404,9
0.05,0.2286436752341051,10
0.05,0.24257274324328812,11
0.05,0.2122184322763399,12
0.07,0.23698998928770534,13
0.07,0.23162273982518478,14
0.07,0.23867157026855723,15
0.07,0.22695812306716995,16
0.07,0.23168017654942216,17
0.07,0.23183713252974855,18
0.07,0.23770744611208852,19
0.07,0.23227118212625952,20
0.07,0.2454051132244028,21
0.07,0.22008890155257732,22
0.07,0.22317434541550743,23
0.08,0.24666343568792473,24
0.08,0.24145583942276722,25
0.08,0.23792583223271027,26
0.08,0.2376977508723408,27
0.08,0.2165727377360794,28
0.08,0.2506870660018331,29
0.08,0.2513140244408563,30
0.08,0.20877435045643294,31
0.11,0.22011914897009682,32
0.11,0.23618089985508597,33
0.11,0.24826746644489162,34
0.11,0.19927576389363724,35
0.11,0.22653276593601476,36
0.11,0.22703242390468467,37
0.11,0.21644046686137447,38
0.11,0.2261342128295178,39
0.11,0.19247455208803416,40
0.13,0.2322894042676063,41
0.13,0.20725905316547297,42
0.13,0.22067420386190173,43
0.14,0.20365235743332213,44
0.19,0.19557073389590016,45
0.26,0.22018298016830232,46
0.26,0.20624568581991373,47
0.26,0.19066908305657537,48
0.26,0.19168434206177612,49
0.26,0.2016698816597131,50
0.26,0.2034903909477638,51
0.26,0.19433942023121717,52
0.26,0.18661403431902499,53
0.28,0.18885990093148464,54
0.28,0.1635520966991873,55
0.38,0.18560900340681688,56
0.38,0.16138798985698447,57
0.38,0.17468268041912427,58
0.38,0.17979437020479763,59
0.38,0.20407055857842912,60
0.38,0.19060782011448066,61
0.38,0.1777940590280445,62
0.38,0.18153484825410185,63
0.38,0.14898332306577683,64
0.41,0.1626735690596252,65
0.41,0.15975489778057414,66
0.43,0.16040481561503214,67
0.43,0.1448154333292534,68
0.44,0.1565765060555743,69
0.44,0.14138858633733453,70
0.47,0.1661010006036944,71
0.47,0.1706429331165068,72
0.47,0.1691808421801734,73
0.47,0.19275678298428395,74
0.47,0.151477363412074,75
0.47,0.16385382436813237,76
0.47,0.14881003033128556,77
0.47,0.13926042864143426,78
0.48,0.1488305033648059,79
0.48,0.16895382257658542,80
0.48,0.14229587645829575,81
0.48,0.16178517471235385,82
0.48,0.13912176391473133,83
0.53,0.1430506263773821,84
0.53,0.14688122198896328,85
0.53,0.16161815528209275,86
0.53,0.1639604252645508,87
0.53,0.14432953823775826,88
0.53,0.1355056222932819,89
0.53,0.17360531152284453,90
0.53,0.15618508094080213,91
0.53,0.17706322327035956,92
0.53,0.16037181038454615,93
0.53,0.15484751638810823,94
0.53,0.15158226616314527,95
0.53,0.1816837590991198,96
0.53,0.1454959713794286,97
0.53,0.16753375911915186,98
0.53,0.14890831488639344,99
0.53,0.18085639830215613,100
0.53,0.17751633190768917,101
0.53,0.18006845956670214,102
0.53,0.14690105222378866,103
0.53,0.16384189994552947,104
0.53,0.15659096409911913,105
0.53,0.1778936311980864,106
0.53,0.16943866776738484,107
0.53,0.1779752237470784,108
0.53,0.16471572872997664,109
0.53,0.15359856130734245,110
0.53,0.14224967356892682,111
0.53,0.1264390401376619,112
0.53,0.12167808929115471,113
0.53,0.15789796724410687,114
0.53,0.12414695259932557,115
0.53,0.16502162580892044,116
0.53,0.15605405330475294,117
0.53,0.16486661012806575,118
0.53,0.15634872681154585,119
0.53,0.15549017502886633,120
0.53,0.18337797457685517,121
0.53,0.15121851834915684,122
0.53,0.15603347784682983,123
0.53,0.15066197282098692,124
0.53,0.1524015732227798,125
0.53,0.15510554681044297,126
0.53,0.1467825879650017,127
0.53,0.13848052053273593,128
0.53,0.15435217110302174,129
0.53,0.13732046725270838,130
0.53,0.16323990629223842,131
0.53,0.15840260473934772,132
0.53,0.15849047552368092,133
0.53,0.1526703925237021,134
