Outer_MeanRewards,Outer_iter,Outer_Success
0.0,0,0.0327868852459
0.0,1,0.502049180328
0.0,2,0.706967213115
0.0,3,0.776639344262
0.0,4,0.80737704918
0.0,5,0.864754098361
0.0,6,0.809426229508
0.0,7,0.78893442623
0.0,8,0.809426229508
0.0,9,0.725409836066
0.0,10,0.83606557377
0.0,11,0.862704918033
0.0,12,0.819672131148
0.0,13,0.80737704918
0.0,14,0.809426229508
0.0,15,0.83606557377
0.0,16,0.81762295082
0.0,17,0.776639344262
0.0,18,0.854508196721
0.0,19,0.825819672131
0.0,20,0.81762295082
0.0,21,0.706967213115
0.0,22,0.795081967213
0.0,23,0.770491803279
0.0,24,0.813524590164
0.0,25,0.825819672131
0.0,26,0.838114754098
0.0,27,0.850409836066
0.0,28,0.790983606557
0.0,29,0.762295081967
0.0,30,0.756147540984
0.0,31,0.745901639344
0.0,32,0.762295081967
0.0,33,0.694672131148
0.0,34,0.752049180328
0.0,35,0.772540983607
0.0,36,0.733606557377
0.0,37,0.737704918033
0.0,38,0.743852459016
0.0,39,0.709016393443
0.0,40,0.752049180328
0.0,41,0.752049180328
0.0,42,0.756147540984
0.0,43,0.772540983607
0.0,44,0.774590163934
0.0,45,0.786885245902
0.0,46,0.78893442623
0.0,47,0.772540983607
0.0,48,0.780737704918
0.0,49,0.729508196721
0.0,50,0.735655737705
0.0,51,0.741803278689
0.0,52,0.706967213115
0.0,53,0.725409836066
