Outer_iter,MinDisToGoal,Outer_Success
0,0.22336673568647739,0.0
1,0.234866790893472,0.0
2,0.25279988615808824,0.09
3,0.21958965418265453,0.09
4,0.21030537643029681,0.1
5,0.21379509492421347,0.15
6,0.21556488631008489,0.15
7,0.20989352516424464,0.15
8,0.21583664792693422,0.15
9,0.20602011109167656,0.16
10,0.22337298064027666,0.16
11,0.22532109363027886,0.16
12,0.2108104656271131,0.17
13,0.19997235968370322,0.18
14,0.2249737557573038,0.27
15,0.22019677038982446,0.27
16,0.19263996333088249,0.27
17,0.2335710768836922,0.27
18,0.19618811719906662,0.27
19,0.2017389361907892,0.27
20,0.1834420509734797,0.27
21,0.17387421968069547,0.27
22,0.21099044187208843,0.27
23,0.1884528632478838,0.27
24,0.18181497732951205,0.27
25,0.1858765773088702,0.27
26,0.21142913163391722,0.27
27,0.2314395321888121,0.27
28,0.20071567878827026,0.27
29,0.18210542194838408,0.27
30,0.17910539699920236,0.32
31,0.18406876225665614,0.35
32,0.18735812466294463,0.35
33,0.1599926443309747,0.35
34,0.18218731911128297,0.35
35,0.18675737936209516,0.35
36,0.1788107403955578,0.35
37,0.20244418818702936,0.35
38,0.1859750353171432,0.35
39,0.20251261510481425,0.35
40,0.1950886464508675,0.35
41,0.18107620742026712,0.35
42,0.19929084645165238,0.35
43,0.19530269439145345,0.35
44,0.18500471830632922,0.35
45,0.17845835239227054,0.35
46,0.18353441419502378,0.35
47,0.16929052835094272,0.35
48,0.1616005083206971,0.39
49,0.1777281655602364,0.39
50,0.18093486044045096,0.39
51,0.16961974085571632,0.39
52,0.1838860093017931,0.39
53,0.1775052881485515,0.39
54,0.19723878983510093,0.39
55,0.14090570923934215,0.39
56,0.16420418480324625,0.44
57,0.1483633100911265,0.44
58,0.1564139587266128,0.52
59,0.18197032472262856,0.52
60,0.16434096965869432,0.52
61,0.16484890785293277,0.52
62,0.17081533140658314,0.52
63,0.14400071238148324,0.52
64,0.16334660819947433,0.52
65,0.17593499089598383,0.52
66,0.1661265872179596,0.52
67,0.12206054398720852,0.52
68,0.1386530843386763,0.6
69,0.12954562421016402,0.6
70,0.1645710277664794,0.6
71,0.13647684756683376,0.6
72,0.1478998951115886,0.6
73,0.13481197921379068,0.6
74,0.13611185358896258,0.6
75,0.13727315651190464,0.6
76,0.1624319112146235,0.6
77,0.14360286491595808,0.6
78,0.13957425560119835,0.6
79,0.13010290917839115,0.6
80,0.13325992608512563,0.6
81,0.13236909025606614,0.6
82,0.14795099161678832,0.63
83,0.13139258968141643,0.63
84,0.13463900141053095,0.63
85,0.12939725002475383,0.63
86,0.1745401693363731,0.63
87,0.13903545690951996,0.63
88,0.1335116755649941,0.63
89,0.1425267057112173,0.63
90,0.1321262904606453,0.63
91,0.13206943600898072,0.63
92,0.12991654952979892,0.63
93,0.13219840582700998,0.63
94,0.15609757113726852,0.63
95,0.13423397351598892,0.63
96,0.13238456879654753,0.63
97,0.12070125301583579,0.63
98,0.11991258096684762,0.63
99,0.133603515196148,0.63
100,0.16225293684278955,0.63
101,0.11398221465327796,0.63
102,0.12017982832793676,0.63
103,0.11616951082918665,0.63
104,0.12828841868816362,0.63
105,0.09829436656492468,0.63
106,0.12124846992376626,0.63
107,0.12358304773210793,0.63
108,0.10057354951613101,0.63
109,0.12657337005946562,0.63
110,0.10306373573448419,0.63
111,0.10503352754113089,0.63
112,0.12246436062637192,0.63
113,0.11903186766856337,0.63
114,0.10685788061107862,0.63
115,0.1266212049465607,0.63
116,0.0978140829462868,0.63
117,0.12317957381525492,0.63
118,0.1290262147671607,0.63
119,0.07382508451145851,0.63
120,0.1086749205178212,0.7
121,0.08612211907949367,0.7
122,0.08497597751962818,0.7
123,0.09819808524310526,0.7
124,0.1084287530721219,0.7
125,0.12172137516851107,0.7
126,0.10143576260574527,0.7
127,0.1197848390563786,0.7
128,0.08239938975923225,0.7
129,0.08912630268231318,0.7
130,0.05832909574858171,0.7
131,0.06215745679944943,0.79
132,0.07511168900447757,0.79
133,0.09028483328327155,0.79
134,0.08440683352590407,0.79
135,0.0750054830684471,0.79
136,0.07798895771792612,0.79
137,0.07278371314386892,0.79
138,0.04735450724720973,0.79
139,0.06505695407071639,0.79
140,0.04844676708529755,0.79
141,0.07219816557808975,0.79
142,0.0676162997275611,0.79
143,0.08941206360344327,0.79
144,0.06675575997123769,0.79
145,0.06485615365304598,0.79
146,0.08503473015662597,0.79
147,0.08787021333188555,0.79
148,0.08159494982222235,0.79
149,0.07992458664948801,0.79
150,0.09272685320544964,0.79
151,0.06603840814643157,0.79
152,0.08611818282147295,0.79
153,0.07891030719267986,0.79
154,0.08175219190486262,0.79
155,0.056579884843437796,0.79
156,0.0753355130234266,0.79
157,0.05242752631768518,0.79
158,0.0644794871040954,0.79
159,0.08481950487614473,0.79
160,0.060279654573936206,0.79
161,0.07285520154124353,0.79
162,0.04750354970248312,0.79
163,0.0620362207511357,0.79
164,0.060884456196504816,0.79
165,0.07524088480338602,0.79
166,0.05348513033767709,0.79
167,0.0632396495097388,0.79
168,0.05938294961686113,0.79
169,0.07100461596067825,0.79
170,0.06763546718516236,0.79
171,0.07819212210669918,0.79
172,0.07728453484297536,0.79
173,0.0841503307285702,0.79
174,0.07811669579177337,0.79
175,0.08802478914472374,0.79
176,0.10814029946629602,0.79
177,0.06178395804181476,0.79
178,0.07135843999482708,0.79
179,0.06349802730284987,0.79
180,0.05097414242630105,0.79
181,0.046206893978127245,0.79
182,0.053476055992193475,0.79
183,0.050932636260294116,0.79
184,0.07498059765168402,0.79
185,0.04739009360871485,0.79
186,0.05501623962677365,0.79
187,0.06359895641016414,0.79
188,0.05965416729444261,0.79
189,0.05737475315106803,0.79
190,0.045211766105526505,0.79
191,0.0534253568405517,0.79
192,0.059007306004453135,0.79
193,0.05338569502803197,0.79
