Outer_MeanRewards,Outer_Success,Outer_iter
0.030737704918,0.030737704918,1
0.0635245901639,0.0635245901639,2
0.0389344262295,0.0389344262295,3
0.094262295082,0.094262295082,4
0.094262295082,0.094262295082,5
0.122950819672,0.122950819672,6
0.295081967213,0.295081967213,7
0.506147540984,0.506147540984,8
0.53893442623,0.53893442623,9
0.635245901639,0.635245901639,10
0.809426229508,0.809426229508,11
0.688524590164,0.688524590164,12
0.762295081967,0.762295081967,13
0.850409836066,0.850409836066,14
0.877049180328,0.877049180328,15
0.915983606557,0.915983606557,16
0.926229508197,0.926229508197,17
0.94262295082,0.94262295082,18
0.944672131148,0.944672131148,19
0.944672131148,0.944672131148,20
0.952868852459,0.952868852459,21
0.954918032787,0.954918032787,22
0.952868852459,0.952868852459,23
0.936475409836,0.936475409836,24
0.96106557377,0.96106557377,25
0.954918032787,0.954918032787,26
0.963114754098,0.963114754098,27
0.969262295082,0.969262295082,28
0.93237704918,0.93237704918,29
0.864754098361,0.864754098361,30
0.899590163934,0.899590163934,31
0.93237704918,0.93237704918,32
0.944672131148,0.944672131148,33
0.969262295082,0.969262295082,34
0.96106557377,0.96106557377,35
0.950819672131,0.950819672131,36
0.956967213115,0.956967213115,37
0.918032786885,0.918032786885,38
0.96106557377,0.96106557377,39
0.965163934426,0.965163934426,40
0.944672131148,0.944672131148,41
0.956967213115,0.956967213115,42
0.967213114754,0.967213114754,43
0.965163934426,0.965163934426,44
0.967213114754,0.967213114754,45
0.97131147541,0.97131147541,46
0.97131147541,0.97131147541,47
0.979508196721,0.979508196721,48
0.965163934426,0.965163934426,49
0.977459016393,0.977459016393,50
0.979508196721,0.979508196721,51
0.981557377049,0.981557377049,52
0.975409836066,0.975409836066,53
0.959016393443,0.959016393443,54
0.965163934426,0.965163934426,55
0.97131147541,0.97131147541,56
0.959016393443,0.959016393443,57
0.965163934426,0.965163934426,58
0.956967213115,0.956967213115,59
0.975409836066,0.975409836066,60
0.979508196721,0.979508196721,61
0.983606557377,0.983606557377,62
0.975409836066,0.975409836066,63
0.981557377049,0.981557377049,64
0.985655737705,0.985655737705,65
0.983606557377,0.983606557377,66
0.987704918033,0.987704918033,67
0.983606557377,0.983606557377,68
0.983606557377,0.983606557377,69
0.973360655738,0.973360655738,70
0.989754098361,0.989754098361,71
0.993852459016,0.993852459016,72
0.975409836066,0.975409836066,73
0.979508196721,0.979508196721,74
0.989754098361,0.989754098361,75
0.965163934426,0.965163934426,76
0.928278688525,0.928278688525,77
0.948770491803,0.948770491803,78
0.967213114754,0.967213114754,79
0.991803278689,0.991803278689,80
0.985655737705,0.985655737705,81
0.989754098361,0.989754098361,82
0.985655737705,0.985655737705,83
0.985655737705,0.985655737705,84
0.987704918033,0.987704918033,85
0.981557377049,0.981557377049,86
0.993852459016,0.993852459016,87
0.989754098361,0.989754098361,88
0.985655737705,0.985655737705,89
0.989754098361,0.989754098361,90
0.985655737705,0.985655737705,91
0.985655737705,0.985655737705,92
0.983606557377,0.983606557377,93
0.975409836066,0.975409836066,94
0.981557377049,0.981557377049,95
0.981557377049,0.981557377049,96
0.985655737705,0.985655737705,97
0.989754098361,0.989754098361,98
0.979508196721,0.979508196721,99
0.983606557377,0.983606557377,100
0.989754098361,0.989754098361,101
0.981557377049,0.981557377049,102
0.981557377049,0.981557377049,103
0.975409836066,0.975409836066,104
0.956967213115,0.956967213115,105
0.934426229508,0.934426229508,106
0.938524590164,0.938524590164,107
0.967213114754,0.967213114754,108
0.97131147541,0.97131147541,109
0.96106557377,0.96106557377,110
0.989754098361,0.989754098361,111
0.983606557377,0.983606557377,112
0.983606557377,0.983606557377,113
0.981557377049,0.981557377049,114
0.979508196721,0.979508196721,115
0.981557377049,0.981557377049,116
0.985655737705,0.985655737705,117
0.981557377049,0.981557377049,118
0.981557377049,0.981557377049,119
0.96106557377,0.96106557377,120
0.965163934426,0.965163934426,121
0.981557377049,0.981557377049,122
0.987704918033,0.987704918033,123
0.975409836066,0.975409836066,124
0.97131147541,0.97131147541,125
0.979508196721,0.979508196721,126
