Outer_MeanRewards,Outer_iter,Outer_Success
0.0,1,0.387295081967
0.0,2,0.309426229508
0.0,3,0.479508196721
0.0,4,0.370901639344
0.0,5,0.5
0.0,6,0.512295081967
0.0,7,0.555327868852
0.0,8,0.645491803279
0.0,9,0.569672131148
0.0,10,0.625
0.0,11,0.606557377049
0.0,12,0.59631147541
0.0,13,0.608606557377
0.0,14,0.678278688525
0.0,15,0.702868852459
0.0,16,0.655737704918
0.0,17,0.606557377049
0.0,18,0.674180327869
0.0,19,0.690573770492
0.0,20,0.709016393443
0.0,21,0.754098360656
0.0,22,0.709016393443
0.0,23,0.709016393443
0.0,24,0.698770491803
0.0,25,0.745901639344
0.0,26,0.743852459016
0.0,27,0.735655737705
0.0,28,0.780737704918
0.0,29,0.733606557377
0.0,30,0.760245901639
0.0,31,0.782786885246
0.0,32,0.770491803279
0.0,33,0.827868852459
0.0,34,0.756147540984
0.0,35,0.774590163934
0.0,36,0.834016393443
0.0,37,0.823770491803
0.0,38,0.827868852459
0.0,39,0.848360655738
0.0,40,0.864754098361
0.0,41,0.774590163934
0.0,42,0.780737704918
0.0,43,0.530737704918
0.0,44,0.680327868852
0.0,45,0.747950819672
0.0,46,0.72131147541
0.0,47,0.713114754098
0.0,48,0.672131147541
0.0,49,0.715163934426
0.0,50,0.754098360656
0.0,51,0.694672131148
0.0,52,0.71106557377
0.0,53,0.659836065574
0.0,54,0.678278688525
0.0,55,0.696721311475
0.0,56,0.694672131148
0.0,57,0.747950819672
0.0,58,0.797131147541
0.0,59,0.676229508197
0.0,60,0.819672131148
0.0,61,0.790983606557
0.0,62,0.752049180328
0.0,63,0.727459016393
0.0,64,0.795081967213
0.0,65,0.782786885246
0.0,66,0.745901639344
0.0,67,0.719262295082
0.0,68,0.739754098361
0.0,69,0.731557377049
0.0,70,0.772540983607
0.0,71,0.731557377049
0.0,72,0.790983606557
0.0,73,0.729508196721
0.0,74,0.752049180328
0.0,75,0.672131147541
0.0,76,0.772540983607
0.0,77,0.752049180328
0.0,78,0.762295081967
0.0,79,0.696721311475
0.0,80,0.668032786885
0.0,81,0.696721311475
0.0,82,0.704918032787
0.0,83,0.719262295082
0.0,84,0.690573770492
0.0,85,0.698770491803
0.0,86,0.700819672131
0.0,87,0.737704918033
0.0,88,0.795081967213
0.0,89,0.813524590164
0.0,90,0.747950819672
0.0,91,0.637295081967
0.0,92,0.565573770492
0.0,93,0.559426229508
