Outer_Success,Outer_iter,MinDisToGoal
0.05,0,0.23459975280318887
0.05,1,0.23742595685918644
0.05,2,0.225051405091099
0.05,3,0.18756779373368662
0.15,4,0.16828796903222507
0.28,5,0.1639145884160788
0.28,6,0.1777346718729465
0.28,7,0.17285074266098296
0.36,8,0.1404278100519787
0.41,9,0.17054462507566975
0.41,10,0.13488364117255758
0.46,11,0.12360662993628457
0.52,12,0.10911490543108222
0.57,13,0.14739856147543648
0.57,14,0.13097704380822153
0.57,15,0.12816137611614434
0.57,16,0.10192324282847615
0.66,17,0.12052560160497292
0.66,18,0.09394309166861577
0.66,19,0.10862952190068212
0.66,20,0.07636857950295681
0.74,21,0.09443110188143726
0.74,22,0.1192750852266728
0.74,23,0.08974197177463168
0.74,24,0.0833434417784377
0.74,25,0.08807642997553293
0.74,26,0.08764509193245099
0.74,27,0.07249906372635928
0.74,28,0.06040934729919013
0.81,29,0.08077189927578546
0.81,30,0.06610603208524575
0.81,31,0.0792406009147194
0.81,32,0.06458608549604689
0.81,33,0.05476440504856857
0.81,34,0.07383638680772578
0.81,35,0.07408520185142921
0.81,36,0.058955274558552324
0.81,37,0.03281044766764232
0.81,38,0.0526943718627186
0.81,39,0.044211190286596584
0.81,40,0.04552688392884846
0.81,41,0.04782447114636218
0.81,42,0.03288476583624835
0.86,43,0.040021248098000985
0.86,44,0.03694268490836568
0.86,45,0.04001624567288971
0.86,46,0.045710127387803175
0.86,47,0.042282575786031146
0.86,48,0.03799915039734594
0.9,49,0.03701277140470792
0.9,50,0.03772364976970087
0.9,51,0.04247777441324145
0.9,52,0.0480092898756372
0.9,53,0.037532035563518855
0.9,54,0.03977129676879193
0.9,55,0.03791546596720664
0.9,56,0.05275190908856858
0.9,57,0.03619865188335193
0.9,58,0.0370537462670427
0.9,59,0.03827349279880424
0.9,60,0.030456769299003837
0.9,61,0.028922586194781053
0.94,62,0.046424987528904366
0.94,63,0.04382669219587414
0.94,64,0.04872275819138122
0.94,65,0.043637688002393954
0.94,66,0.040822095842707
0.94,67,0.04131817803740084
0.94,68,0.05473715830469644
0.94,69,0.04880355088127362
0.94,70,0.03614213515893084
0.94,71,0.04593574262801328
0.94,72,0.04555428378804063
